CLAVE,CLAVE_OMM,NOMBRE,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,INICIO,FIN,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES
00002073,,TIJUANA (CFE),TIJUANA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,RIO TIJUANA,CLIMATOLOGICA,CONAGUA-DGE,01/01/1969,31/12/1982,SUSPENDIDA,32,31,27,117,4,27,25.0,
00002075,,SANTA GERTRUDIS MISION,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,SAN MIGUEL-ARROYO DEL VIGIA,LAS LAGUNAS,CLIMATOLOGICA,CONAGUA,01/01/2007,30/11/2010,OPERANDO,28,3,2,113,23,59,413.0,"ANTES TENIA CLAVE 00003192, PERO POR SER ESTACION DE BC SE LE CAMBIO LA CLAVE"
00002076,,LAS PALOMAS,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,RIO TIJUANA,CLIMATOLOGICA,CONAGUA,01/01/2007,31/12/2009,OPERANDO,28,13,6,113,5,4,480.0,"ANTES TENIA CLAVE 00003193, PERO POR SER ESTACION DE BC SE LE CAMBIOLA CLAVE"
00002077,,LA MISION,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,RIO GUADALUPE,CLIMATOLOGICA,CONAGUA,01/01/2000,28/02/2011,OPERANDO,32,6,7,116,48,40,20.0,
00002078,,RANCHO P. P. CUCHUMA,TECATE,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,RIO TIJUANA,CLIMATOLOGICA,CONAGUA,01/02/2007,28/02/2011,OPERANDO,32,34,8,116,39,40,560.0,
00002079,,EL ALAMAR,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,ARROYO DEL MANEADERO,CLIMATOLOGICA,CONAGUA-DGE,01/11/1980,31/12/2010,OPERANDO,31,50,8,116,12,14,710.0,
00002084,,EL PROGRESO,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO ESCOPETA-CAÑON SAN FERNANDO,CAÑON DE SAN FERNANDO,CLIMATOLOGICA,CONAGUA-DGE,01/08/1973,30/11/2010,OPERANDO,29,58,3,115,11,27,517.0,
00002085,,SAN REGIS,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,LAGUNA SAN IGNACIO-ARROYO SAN RAYMUNDO,ARROYO SAN MIGUEL,CLIMATOLOGICA,CONAGUA-DGE,01/12/1972,30/06/2006,OPERANDO,28,35,50,113,45,17,495.0,
00002086,,EJIDO JACUME,TECATE,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,CANAL CERRO PRIETO,CLIMATOLOGICA,CONAGUA-DGE,01/11/1973,30/11/2010,OPERANDO,32,35,26,116,11,30,860.0,
00002087,,EJIDO DOCTOR OVIEDO MOTA,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO COLORADO,RIO PESCADORES,CLIMATOLOGICA,CONAGUA-DGE,01/10/1974,28/02/1987,SUSPENDIDA,32,13,44,115,10,10,8.0,
00002088,,EJIDO HEROES DE LA INDEPENDENCIA,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO LAS ANIMAS-SANTO DOMINGO,RIO SAN VICENTE,CLIMATOLOGICA,CONAGUA-DGE,01/02/1974,30/11/2010,OPERANDO,31,36,37,115,56,15,1000.0,
00002089,,EJIDO EMILIO LOPEZ ZAMORA,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO LAS ANIMAS-SANTO DOMINGO,RIO SAN RAFAEL,CLIMATOLOGICA,CONAGUA-DGE,01/02/1974,30/06/2000,OPERANDO,31,6,15,116,10,6,180.0,
00002090,,EJIDO ERENDIRA,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO LAS ANIMAS-SANTO DOMINGO,RIO SANTO TOMAS,CLIMATOLOGICA,CONAGUA-DGE,01/04/1974,31/05/1996,SUSPENDIDA,31,16,28,116,23,32,20.0,
00002091,,EJIDO IGNACIO  LOPEZ RAYON,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO LAS ANIMAS-SANTO DOMINGO,RIO SAN VICENTE,CLIMATOLOGICA,CONAGUA-DGE,01/04/1974,30/11/2010,OPERANDO,31,17,16,116,15,52,170.0,
00002092,,EJIDO SAN MATIAS,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,AGUA DULCE-SANTA CLARA,SANTA CLARA,CLIMATOLOGICA,CONAGUA-DGE,01/02/1974,30/11/2010,OPERANDO,31,19,53,115,32,37,968.0,
00002093,,EJIDO VALLE DE LA TRINIDAD,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,LAGUNA SALADA-ARROYO DEL DIABLO,LAGUNA DEL SALADO,CLIMATOLOGICA,CONAGUA-DGE,01/08/1974,31/12/2010,OPERANDO,32,21,22,115,44,56,780.0,
00002094,,EL FARITO,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,RIO TIJUANA-ARROYO DEL MANEADERO,BAHIA ENSENADA,CLIMATOLOGICA,CONAGUA-DGE,01/03/1974,30/11/1986,SUSPENDIDA,31,59,0,116,40,0,250.0,
00002095,,LA BOCANA DE SANTO TOMAS,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO ESCOPETA-CAÑON SAN FERNANDO,CAÑON DE SAN FERNANDO,CLIMATOLOGICA,CONAGUA-DGE,01/10/1974,31/08/1993,SUSPENDIDA,29,52,0,115,0,0,167.0,
00002096,,LA CALENTURA,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO LAS ANIMAS-SANTO DOMINGO,ARROYO EL SALADO,CLIMATOLOGICA,CONAGUA-DGE,01/04/1974,30/11/2010,OPERANDO,31,16,13,116,2,13,210.0,
00002097,,LAGUNA SALADA,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,LAGUNA SALADA-ARROYO DEL DIABLO,LAGUNA DEL SALADO,CLIMATOLOGICA,CONAGUA-DGE,01/11/1974,31/12/1990,SUSPENDIDA,32,13,26,115,41,26,25.0,
00002099,,RANCHO LOS ALGODONES,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,AGUA DULCE-SANTA CLARA,ARROYO HUATAMOTE,CLIMATOLOGICA,CONAGUA-DGE,01/06/1948,31/12/1987,SUSPENDIDA,30,46,53,115,10,30,460.0,
00002100,,EJIDO LEANDRO VALLE,ENSENADA,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,ARROYO LAS ANIMAS-SANTO DOMINGO,RIO SAN RAFAEL,CLIMATOLOGICA,CONAGUA-DGE,01/01/1976,31/08/1987,SUSPENDIDA,31,16,0,115,46,0,100.0,
00002101,,EL CENTINELA,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,LAGUNA SALADA-ARROYO DEL DIABLO,LAGUNA DEL SALADO,CLIMATOLOGICA,CONAGUA-DGE,01/08/1975,31/03/2001,OPERANDO,32,34,31,115,44,31,50.0,
00002102,,LA VENTANA,MEXICALI,BAJA CALIFORNIA,PENINSULA DE BAJA CALIFORNIA,SAN MIGUEL-ARROYO DEL VIGIA,ARROYO DEL DIABLO,CLIMATOLOGICA,CONAGUA-DGE,01/02/1975,31/03/2003,OPERANDO,31,26,23,115,3,13,16.0,
