CLAVE,CLAVE_OMM,NOMBRE,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,INICIO,FIN,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES
00008144,,TESEACHI,NAMIQUIPA,CHIHUAHUA,RIO BRAVO,RIO DEL CARMEN,PRESA LAS LAJAS,CLIMATOLOGICA,CONAGUA-SMN,01/01/1969,30/04/1987,SUSPENDIDA,28,49,35,107,28,6,2083.0,
00008145,,TOHAYANA (CFE),GUADALUPE Y CALVO,CHIHUAHUA,PACIFICO NORTE,RIO SINALOA,RIO MOHINORA,CLIMATOLOGICA,CFE,01/01/1961,30/04/1972,SUSPENDIDA,26,10,0,107,41,0,360.0,
00008146,,TRES OJITOS,MADERA,CHIHUAHUA,NOROESTE,RIO YAQUI,RIO PAPIGOCHIC O AROS,CLIMATOLOGICA,CONAGUA-SMN,01/01/1961,28/02/1987,SUSPENDIDA,28,55,0,108,11,0,1633.0,
00008147,,UNIVERSIDAD,CHIHUAHUA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA EL GRANERO,RIO CHUVISCAR,CLIMATOLOGICA,CONAGUA-SMN,01/01/1969,31/12/2003,OPERANDO,28,42,20,105,59,38,1350.0,
00008148,,URIQUE I (DGE),URIQUE,CHIHUAHUA,PACIFICO NORTE,RIO FUERTE,RIO URIQUE,CLIMATOLOGICA,CONAGUA-DGE,01/01/1961,31/08/1985,SUSPENDIDA,27,12,45,107,54,50,560.0,
00008149,,URUACHI,URUACHI,CHIHUAHUA,NOROESTE,RIO MAYO,RIO OTEROS,CLIMATOLOGICA,CONAGUA-SMN,01/03/1972,30/04/1987,SUSPENDIDA,27,55,0,108,13,0,1360.0,
00008151,,VALLE DE ALLENDE (SMN),ALLENDE,CHIHUAHUA,RIO BRAVO,RIO FLORIDO,RIO VALLE ALLENDE,CLIMATOLOGICA,CONAGUA-SMN,01/03/1962,30/04/1990,SUSPENDIDA,26,56,23,105,23,43,1600.0,
00008152,,VALLE DE ZARAGOZA (SMN),VALLE DE ZARAGOZA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA DE LA COLINA,RIO CONCHOS-VALLE DE ZARAGOZA,CLIMATOLOGICA,CONAGUA-SMN,01/08/1971,31/12/2001,OPERANDO,27,27,26,105,48,39,1340.0,
00008153,,VALLE DE ZARAGOZA (DGE),VALLE DE ZARAGOZA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA DE LA COLINA,RIO CONCHOS-VALLE DE ZARAGOZA,CLIMATOLOGICA,CONAGUA-DGE,01/01/1969,31/07/1990,SUSPENDIDA,27,27,16,105,48,25,1350.0,
00008154,,VICTORIA,CAMARGO,CHIHUAHUA,CUENCAS CENTRALES DEL NORTE,EL LLANO-LAGUNA DEL MILAGRO,LAGUNA DEL MILAGRO,CLIMATOLOGICA,CONAGUA-SMN,01/05/1963,30/04/1987,SUSPENDIDA,27,58,0,104,33,0,1396.0,
00008155,,VILLA AHUMADA,AHUMADA,CHIHUAHUA,RIO BRAVO,RIO DEL CARMEN,RIO DEL CARMEN,CLIMATOLOGICA,CONAGUA-SMN,01/03/1903,31/12/1993,SUSPENDIDA,30,37,7,106,30,44,1200.0,
00008156,,VILLA CORONADO,CORONADO,CHIHUAHUA,RIO BRAVO,RIO FLORIDO,RIO FLORIDO-JIMENEZ,CLIMATOLOGICA,CONAGUA-DGE,01/06/1964,31/12/2003,OPERANDO,26,44,19,105,9,36,1516.0,
00008157,,VILLA DE ALDAMA,ALDAMA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA EL GRANERO,RIO CHUVISCAR,CLIMATOLOGICA,CONAGUA-SMN,01/05/1960,31/12/1993,SUSPENDIDA,28,50,19,105,54,40,1270.0,
00008158,,VILLALBA,ROSALES,CHIHUAHUA,RIO BRAVO,RIO SAN PEDRO,RIO SAN PEDRO-VILLALBA,CLIMATOLOGICA,CONAGUA-DGE,01/10/1940,31/05/1984,SUSPENDIDA,27,59,0,105,49,0,1280.0,
00008160,,VIVERO MADERA,MADERA,CHIHUAHUA,NOROESTE,RIO YAQUI,RIO PAPIGOCHIC O AROS,CLIMATOLOGICA,CONAGUA-SMN,01/01/1969,31/10/1985,SUSPENDIDA,29,10,0,108,8,0,2095.0,
00008161,,BATOPILAS (SMN),BATOPILAS,CHIHUAHUA,PACIFICO NORTE,RIO FUERTE,RIO VERDE,CLIMATOLOGICA,CONAGUA-SMN,01/01/1944,29/02/1996,SUSPENDIDA,27,1,0,107,45,0,678.0,
00008162,,CAMARGO (DGE),CAMARGO,CHIHUAHUA,CUENCAS CENTRALES DEL NORTE,RIO CONCHOS-PRESA EL GRANERO,RIO FLORIDO-CAMARGO,CLIMATOLOGICA,CONAGUA-DGE,01/06/1922,31/12/2000,OPERANDO,27,42,0,105,11,0,1250.0,
00008164,,CRUCES,NAMIQUIPA,CHIHUAHUA,RIO BRAVO,RIO CASAS GRANDES,PRESA LAS LAJAS,CLIMATOLOGICA,CONAGUA-SMN,01/05/1972,30/04/1987,SUSPENDIDA,29,26,10,107,23,43,1740.0,
00008165,,CHIHUAHUA,CHIHUAHUA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA EL GRANERO,RIO CHUVISCAR,CLIMATOLOGICA,CONAGUA-DGE,01/01/1972,31/12/1984,SUSPENDIDA,28,38,0,106,5,0,1428.0,
00008166,,CHINIPAS (CFE),CHINIPAS,CHIHUAHUA,PACIFICO NORTE,RIO FUERTE,RIO OTEROS,CLIMATOLOGICA,CFE,01/01/1965,30/04/1972,SUSPENDIDA,27,24,0,108,31,0,420.0,
00008167,,CHINIPAS (SMN),CHINIPAS,CHIHUAHUA,PACIFICO NORTE,RIO FUERTE,RIO OTEROS,CLIMATOLOGICA,CONAGUA-SMN,01/11/1948,30/06/2000,OPERANDO,27,23,35,108,32,10,440.0,
00008169,,EL TULE I (SMN),EL TULE,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA DE LA COLINA,RIO BALLEZA,CLIMATOLOGICA,CONAGUA-SMN,01/02/1972,30/04/1987,SUSPENDIDA,27,3,10,106,15,55,1580.0,
00008171,,ESCALON (SMN),JIMENEZ,CHIHUAHUA,CUENCAS CENTRALES DEL NORTE,ARROYO LA INDIA-PALOMAS,ARROYO LA INDIA-ARROYO CERRO GORDO,CLIMATOLOGICA,CONAGUA-SMN,01/01/1969,30/11/1999,OPERANDO,26,45,0,104,21,0,1263.0,
00008172,,GUADALUPE Y CALVO (SMN),GUADALUPE Y CALVO,CHIHUAHUA,PACIFICO NORTE,RIO FUERTE,RIO LOERA,CLIMATOLOGICA,CONAGUA-SMN,01/03/1928,31/12/1998,OPERANDO,26,6,30,106,58,30,2279.0,
00008173,,IGNACIO ZARAGOZA,IGNACIO ZARAGOZA,CHIHUAHUA,RIO BRAVO,RIO CASAS GRANDES,RIO PALANGANAS,CLIMATOLOGICA,CONAGUA-SMN,01/01/1969,31/12/1987,SUSPENDIDA,29,35,17,107,52,14,2238.0,
00008174,,INDUSTRIAS UNIDAS,DELICIAS,CHIHUAHUA,RIO BRAVO,RIO SAN PEDRO,RIO MEOQUI,CLIMATOLOGICA,CONAGUA-SMN,01/01/1969,31/07/1973,SUSPENDIDA,28,9,0,105,28,0,1200.0,
00008175,,LAGO DE JACALES,SANTA ISABEL,CHIHUAHUA,RIO BRAVO,RIO SAN PEDRO,RIO SANTA ISABEL,CLIMATOLOGICA,CONAGUA-SMN,01/09/1966,31/12/1972,SUSPENDIDA,28,18,46,106,18,21,1630.0,
00008176,,JANOS (DGE),JANOS,CHIHUAHUA,RIO BRAVO,RIO CASAS GRANDES,RIO CASAS GRANDES,CLIMATOLOGICA,CONAGUA-DGE,01/01/1962,31/05/1988,SUSPENDIDA,30,52,0,108,11,0,1357.0,
00008178,,LA PRIETA,HIDALGO DEL PARRAL,CHIHUAHUA,RIO BRAVO,RIO FLORIDO,RIO PARRAL,CLIMATOLOGICA,CONAGUA-DGE,01/08/1963,31/12/1977,SUSPENDIDA,26,56,0,105,39,0,1625.0,
00008179,,LOS POZOS,ALDAMA,CHIHUAHUA,RIO BRAVO,ARROYO EL CARRIZO,LAGUNA DEL CUERVO,CLIMATOLOGICA,CONAGUA-SMN,01/01/1961,28/02/1973,SUSPENDIDA,29,5,3,105,58,2,1200.0,
00008180,,MACLOVIO HERRERA,ALDAMA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-OJINAGA,RIO CONCHOS-CUCHILLO PARADO,CLIMATOLOGICA,CONAGUA-SMN,01/01/1961,30/04/1989,SUSPENDIDA,29,3,50,105,8,38,980.0,
00008182,,MORIS,MORIS,CHIHUAHUA,NOROESTE,RIO MAYO,RIO MORIS,CLIMATOLOGICA,CONAGUA-SMN,01/03/1972,31/12/2000,OPERANDO,28,8,50,108,31,12,754.0,
00008183,,NONOAVA (DGE),NONOAVA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA DE LA COLINA,RIO NONOAVA,CLIMATOLOGICA,CONAGUA-DGE,01/11/1963,31/01/1971,SUSPENDIDA,27,28,0,106,44,0,1640.0,
00008184,,NUEVO CASAS GRANDES (DGE),NUEVO CASAS GRANDES,CHIHUAHUA,RIO BRAVO,RIO CASAS GRANDES,RIO CASAS GRANDES,CLIMATOLOGICA,CONAGUA-DGE,01/01/1943,31/12/2001,OPERANDO,30,24,48,107,54,45,1460.0,
00008185,,PRESA CHIHUAHUA (DGE),CHIHUAHUA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA EL GRANERO,RIO CHUVISCAR,CLIMATOLOGICA,CONAGUA-DGE,01/10/1961,31/12/2000,OPERANDO,28,35,0,106,10,0,1548.0,
00008186,,PRESA TORREONCILLOS,MATAMOROS,CHIHUAHUA,RIO BRAVO,RIO FLORIDO,RIO FLORIDO-JIMENEZ,CLIMATOLOGICA,CONAGUA-DGE,01/06/1972,30/11/1974,SUSPENDIDA,26,40,50,105,33,42,1720.0,
00008187,,ROSETILLA,SAUCILLO,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA EL GRANERO,RIO CONCHOS-PROSETILLA,CLIMATOLOGICA,CONAGUA-DGE,01/01/1965,31/12/1977,SUSPENDIDA,28,15,18,105,18,2,1160.0,
00008188,,SAN FRANCISCO DE BORJA (SMN),SAN FRANCISCO DE BORJA,CHIHUAHUA,RIO BRAVO,RIO SAN PEDRO,RIO SAN PEDRO-VILLALBA,CLIMATOLOGICA,CONAGUA-SMN,01/01/1972,31/12/1987,SUSPENDIDA,27,54,7,106,41,4,1640.0,
00008189,,SAN PEDRO,COYAME DEL SOTOL,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-OJINAGA,RIO CONCHOS-CUCHILLO PARADO,CLIMATOLOGICA,CONAGUA-SMN,01/01/1973,31/01/1980,SUSPENDIDA,29,20,0,105,0,0,924.0,
00008190,,TOHAYANA,GUADALUPE Y CALVO,CHIHUAHUA,PACIFICO NORTE,RIO SINALOA,RIO MOHINORA,CLIMATOLOGICA,CONAGUA-DGE,01/05/1972,31/08/1985,SUSPENDIDA,26,10,12,107,41,37,360.0,
00008191,,URIQUE II (DGE),URIQUE,CHIHUAHUA,PACIFICO NORTE,RIO FUERTE,RIO URIQUE,CLIMATOLOGICA,CONAGUA-DGE,01/11/1967,31/08/1985,SUSPENDIDA,27,14,0,107,52,0,611.0,
00008192,,URIQUE (SMN),URIQUE,CHIHUAHUA,PACIFICO NORTE,RIO FUERTE,RIO URIQUE,CLIMATOLOGICA,CONAGUA-SMN,01/01/1969,30/04/1987,SUSPENDIDA,27,10,0,107,55,0,763.0,
00008194,,VILLA LOPEZ,LOPEZ,CHIHUAHUA,RIO BRAVO,RIO FLORIDO,RIO FLORIDO-JIMENEZ,CLIMATOLOGICA,CONAGUA-SMN,01/01/1969,31/12/2000,OPERANDO,27,0,11,105,2,10,1424.0,
00008196,,HACIENDA TRES HERMANOS,SATEVO,CHIHUAHUA,RIO BRAVO,RIO SAN PEDRO,RIO SAN PEDRO-VILLALBA,CLIMATOLOGICA,CONAGUA-SMN,01/01/1961,31/07/1968,SUSPENDIDA,27,45,0,106,9,0,1502.0,
00008199,,KILOMETRO 099 CANAL PRINCIPAL,DELICIAS,CHIHUAHUA,RIO BRAVO,RIO SAN PEDRO,RIO MEOQUI,CLIMATOLOGICA,CONAGUA-DGE,01/01/1961,31/03/1977,SUSPENDIDA,28,8,0,105,31,0,1205.0,
00008202,,PRESA FRANCISCO I. MADERO,ROSALES,CHIHUAHUA,RIO BRAVO,RIO SAN PEDRO,RIO MEOQUI,CLIMATOLOGICA,CONAGUA-DGE,01/07/1944,31/12/2003,OPERANDO,28,10,2,105,37,39,1242.0,
00008203,,LOS OJOS,CHIHUAHUA,CHIHUAHUA,RIO BRAVO,ARROYO EL CARRIZO,LAGUNA ENCINILLAS,CLIMATOLOGICA,CONAGUA-SMN,01/01/1961,31/03/1969,SUSPENDIDA,29,9,28,106,21,13,1560.0,
00008204,,LOS LAMENTOS,AHUMADA,CHIHUAHUA,RIO BRAVO,ARROYO EL CARRIZO,FELIX U. GOMEZ,CLIMATOLOGICA,CONAGUA-SMN,01/01/1961,31/12/1966,SUSPENDIDA,30,34,0,105,53,0,1426.0,
00008207,,SOTO MAYNES,NAMIQUIPA,CHIHUAHUA,RIO BRAVO,RIO DEL CARMEN,PRESA LAS LAJAS,CLIMATOLOGICA,CONAGUA-SMN,01/07/1982,31/03/1987,SUSPENDIDA,29,10,0,107,32,0,1989.0,
00008208,,TEMOSACHI (SMN),TEMOSACHIC,CHIHUAHUA,NOROESTE,RIO YAQUI,RIO PAPIGOCHIC O AROS,CLIMATOLOGICA,CONAGUA-SMN,01/01/1961,30/04/1987,SUSPENDIDA,28,57,0,107,50,0,1869.0,
00008210,,NUEVO CASAS GRANDES (SMN),NUEVO CASAS GRANDES,CHIHUAHUA,RIO BRAVO,RIO CASAS GRANDES,RIO CASAS GRANDES,CLIMATOLOGICA,CONAGUA-SMN,01/01/1961,31/03/1987,SUSPENDIDA,30,24,3,107,54,45,1460.0,
00008211,,CASA DE JANOS,JANOS,CHIHUAHUA,RIO BRAVO,RIO CASAS GRANDES,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,01/09/1972,31/12/1984,SUSPENDIDA,30,43,0,108,25,22,1480.0,
00008212,,CARRETERA CAMPANA,CHIHUAHUA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA EL GRANERO,RIO CHUVISCAR,CLIMATOLOGICA,CONAGUA-SMN,01/08/1972,30/04/1987,SUSPENDIDA,28,38,3,105,58,37,1410.0,
00008213,,JUAREZ (SMN),JUAREZ,CHIHUAHUA,RIO BRAVO,RIO BRAVO-CIUDAD JUAREZ,RIO BRAVO-CIUDAD JUAREZ,CLIMATOLOGICA,CONAGUA-SMN,01/03/1928,31/08/1997,OPERANDO,31,44,11,106,29,11,1135.0,
00008214,,GUACHOCHI (SMN),GUACHOCHI,CHIHUAHUA,PACIFICO NORTE,RIO FUERTE,RIO VERDE,CLIMATOLOGICA,CONAGUA-SMN,01/02/1970,31/12/1993,SUSPENDIDA,26,51,0,107,6,0,2413.0,
00008215,,LAS CHEPAS,BACHINIVA,CHIHUAHUA,RIO BRAVO,RIO DEL CARMEN,PRESA LAS LAJAS,CLIMATOLOGICA,CONAGUA-DGE,01/07/1972,31/12/2000,OPERANDO,28,42,55,107,14,45,2076.0,
00008216,,SAN JOSE,BACHINIVA,CHIHUAHUA,RIO BRAVO,RIO DEL CARMEN,PRESA LAS LAJAS,CLIMATOLOGICA,CONAGUA-DGE,01/07/1972,30/09/1983,SUSPENDIDA,28,53,47,107,14,11,2100.0,
00008219,,PEÑITAS,MADERA,CHIHUAHUA,NOROESTE,RIO YAQUI,RIO PAPIGOCHIC O AROS,CLIMATOLOGICA,CONAGUA-DGE,01/12/1972,31/12/2000,OPERANDO,29,15,7,108,5,34,2135.0,
00008220,,AGUA SALADA,CASAS GRANDES,CHIHUAHUA,RIO BRAVO,RIO CASAS GRANDES,RIO PIEDRAS VERDES,CLIMATOLOGICA,CONAGUA-SMN,01/11/1962,30/09/1968,SUSPENDIDA,30,15,35,108,25,26,2180.0,
00008221,,CAJURICHI (DGE),OCAMPO,CHIHUAHUA,NOROESTE,RIO MAYO,RIO CANDAMEÑA,CLIMATOLOGICA,CONAGUA-DGE,01/02/1966,31/03/1969,SUSPENDIDA,28,5,0,108,8,0,2180.0,
00008222,,CERROS PRIETOS,ALDAMA,CHIHUAHUA,RIO BRAVO,ARROYO EL CARRIZO,LAGUNA DEL CUERVO,CLIMATOLOGICA,CONAGUA-SMN,01/10/1962,29/02/1968,SUSPENDIDA,29,27,7,105,52,1,1300.0,
00008223,,EL BARREAL,ASCENSION,CHIHUAHUA,RIO BRAVO,RIO CASAS GRANDES,LAGUNA GUZMAN,CLIMATOLOGICA,CONAGUA-DGE,01/12/1963,31/10/1969,SUSPENDIDA,31,16,26,107,9,47,1200.0,
00008224,,HUERTA CHACHITA,GUERRERO,CHIHUAHUA,NOROESTE,RIO YAQUI,RIO CARPIO,CLIMATOLOGICA,CONAGUA-SMN,01/02/1961,30/04/1968,SUSPENDIDA,28,30,0,107,25,0,2084.0,
00008226,,LAS CHOYAS,CHIHUAHUA,CHIHUAHUA,RIO BRAVO,ARROYO EL CARRIZO,LAGUNA DEL CUERVO,CLIMATOLOGICA,CONAGUA-SMN,01/01/1962,31/08/1968,SUSPENDIDA,29,38,52,106,2,21,1360.0,
00008229,,TOSESIHUA,COYAME DEL SOTOL,CHIHUAHUA,RIO BRAVO,ARROYO EL CARRIZO,ARROYO DEL BURRO,CLIMATOLOGICA,CONAGUA-DGE,01/04/1963,31/12/1968,SUSPENDIDA,29,46,59,105,26,11,1540.0,
00008230,,YEPOMERA,TEMOSACHIC,CHIHUAHUA,NOROESTE,RIO YAQUI,RIO PAPIGOCHIC O AROS,CLIMATOLOGICA,CONAGUA-SMN,01/01/1961,29/02/1968,SUSPENDIDA,29,1,0,107,49,0,1900.0,
00008238,,EL NOPAL,ALDAMA,CHIHUAHUA,RIO BRAVO,ARROYO EL CARRIZO,LAGUNA DEL CUERVO,CLIMATOLOGICA,CONAGUA-SMN,01/01/1962,31/10/1975,SUSPENDIDA,29,6,48,106,2,27,1450.0,
00008240,,NOROGACHI,GUACHOCHI,CHIHUAHUA,PACIFICO NORTE,RIO FUERTE,RIO URIQUE,CLIMATOLOGICA,CONAGUA-SMN,01/06/1973,31/12/1984,SUSPENDIDA,27,16,25,107,7,56,2088.0,
00008241,,PRESA TARAHUMARA,OJINAGA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-OJINAGA,RIO CONCHOS-OJINAGA,CLIMATOLOGICA,CONAGUA-DGE,01/10/1973,31/12/1983,SUSPENDIDA,29,32,0,104,30,0,795.0,
00008242,,SAN ISIDRO,BUENAVENTURA,CHIHUAHUA,RIO BRAVO,RIO DEL CARMEN,PRESA EL TINTERO,CLIMATOLOGICA,CONAGUA-DGE,01/09/1973,31/12/1984,SUSPENDIDA,30,2,20,106,56,38,1470.0,
00008243,,TEJOLOCACHI (DGE),MATACHI,CHIHUAHUA,NOROESTE,RIO YAQUI,RIO PAPIGOCHIC O AROS,CLIMATOLOGICA,CONAGUA-DGE,01/10/1973,31/12/2000,OPERANDO,28,45,35,107,41,51,1920.0,
00008244,,VIVERO CECHISA ANAHUAC,CUAUHTEMOC,CHIHUAHUA,RIO BRAVO,LAGUNA DE BUSTILLOS Y DE LOS MEXICANOS,LAGUNA DE BUSTILLOS,CLIMATOLOGICA,CONAGUA-SMN,01/06/1973,30/09/1976,SUSPENDIDA,28,28,48,106,44,39,1980.0,
00008246,,BASUCHIL,GUERRERO,CHIHUAHUA,NOROESTE,RIO YAQUI,RIO CARPIO,CLIMATOLOGICA,CONAGUA-SMN,01/03/1974,30/06/2000,OPERANDO,28,31,5,107,24,7,2020.0,
00008247,,COYAME (DGE),COYAME DEL SOTOL,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-OJINAGA,RIO CONCHOS-CUCHILLO PARADO,CLIMATOLOGICA,CONAGUA-DGE,01/08/1974,31/03/1982,SUSPENDIDA,29,27,0,105,15,0,1220.0,
00008248,,CUAUHTEMOC B (FIMSA),CUAUHTEMOC,CHIHUAHUA,RIO BRAVO,LAGUNA DE BUSTILLOS Y DE LOS MEXICANOS,LAGUNA DE BUSTILLOS,CLIMATOLOGICA,CONAGUA-SMN,01/05/1974,30/04/1996,OPERANDO,28,25,0,106,52,0,2010.0,
00008249,,COLONIA ALVARO OBREGON,CUAUHTEMOC,CHIHUAHUA,RIO BRAVO,LAGUNA DE BUSTILLOS Y DE LOS MEXICANOS,LAGUNA DE BUSTILLOS,CLIMATOLOGICA,CONAGUA-SMN,01/04/1974,30/04/1987,SUSPENDIDA,28,44,55,106,54,22,2020.0,
00008250,,ESCUELA SEC. CAMARGO,CAMARGO,CHIHUAHUA,RIO BRAVO,RIO FLORIDO,RIO FLORIDO-CAMARGO,CLIMATOLOGICA,CONAGUA-SMN,01/06/1974,30/04/1987,SUSPENDIDA,27,42,0,105,10,0,1221.0,
00008251,,ESCUELA SUP. DE ZOOTECNIA,CHIHUAHUA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA EL GRANERO,RIO CHUVISCAR,CLIMATOLOGICA,CONAGUA-SMN,01/09/1974,30/04/1987,SUSPENDIDA,28,33,38,106,0,34,1500.0,
00008253,,MATACHI,MATACHI,CHIHUAHUA,NOROESTE,RIO YAQUI,RIO PAPIGOCHIC O AROS,CLIMATOLOGICA,CONAGUA-SMN,01/03/1974,30/04/1987,SUSPENDIDA,28,50,33,107,45,14,1900.0,
00008254,,OJINAGA (DGE),OJINAGA,CHIHUAHUA,RIO BRAVO,RIO BRAVO-OJINAGA,RIO BRAVO-OJINAGA,CLIMATOLOGICA,CONAGUA-DGE,01/09/1974,31/12/1984,SUSPENDIDA,29,33,0,104,24,0,800.0,
00008255,,PEGUIS,COYAME DEL SOTOL,CHIHUAHUA,RIO BRAVO,ARROYO EL CARRIZO,ARROYO DEL BURRO,CLIMATOLOGICA,CONAGUA-DGE,01/07/1974,31/12/1984,SUSPENDIDA,29,37,0,105,37,0,1410.0,
00008257,,E.T.A. 168 SALAICES,LOPEZ,CHIHUAHUA,RIO BRAVO,RIO FLORIDO,RIO FLORIDO-JIMENEZ,CLIMATOLOGICA,CONAGUA-SMN,01/05/1974,31/08/1985,SUSPENDIDA,27,2,20,105,11,43,1558.0,
00008258,,TOMOCHI,GUERRERO,CHIHUAHUA,NOROESTE,RIO YAQUI,RIO TOMACHIC,CLIMATOLOGICA,CONAGUA-SMN,01/05/1974,30/04/1987,SUSPENDIDA,28,20,51,107,50,46,1959.0,
00008259,,TUBARES,URIQUE,CHIHUAHUA,PACIFICO NORTE,RIO FUERTE,RIO REFORMA,CLIMATOLOGICA,CONAGUA-DGE,01/06/1974,31/08/1985,SUSPENDIDA,26,56,31,107,58,40,300.0,
00008260,,VALLE DE ALLENDE (DGE),ALLENDE,CHIHUAHUA,RIO BRAVO,RIO FLORIDO,RIO VALLE ALLENDE,CLIMATOLOGICA,CONAGUA-DGE,01/09/1974,31/12/1984,SUSPENDIDA,26,57,0,105,23,0,1610.0,
00008262,,E.T.A. 014 COLONIA SOTO MAYNEZ,NAMIQUIPA,CHIHUAHUA,RIO BRAVO,RIO DEL CARMEN,PRESA LAS LAJAS,CLIMATOLOGICA,CONAGUA-SMN,01/02/1973,31/12/1984,SUSPENDIDA,29,1,55,107,28,13,1880.0,
00008264,,AGOSTADERO,BALLEZA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA DE LA COLINA,RIO BALLEZA,CLIMATOLOGICA,CONAGUA-DGE,01/02/1975,31/08/1985,SUSPENDIDA,26,57,0,106,40,0,2300.0,
00008265,,ATASCADEROS,GUADALUPE Y CALVO,CHIHUAHUA,PACIFICO NORTE,RIO SINALOA,RIO MOHINORA,CLIMATOLOGICA,CONAGUA-DGE,01/01/1975,31/08/1985,SUSPENDIDA,25,45,8,106,48,46,2280.0,
00008266,,BATOVIRA,MAGUARICHI,CHIHUAHUA,PACIFICO NORTE,RIO FUERTE,RIO OTEROS,CLIMATOLOGICA,CONAGUA-DGE,01/05/1975,31/08/1985,SUSPENDIDA,27,55,5,107,54,15,2160.0,
00008267,,EL VERGEL (DGE),BALLEZA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA DE LA COLINA,RIO SAN JUAN,CLIMATOLOGICA,CONAGUA-DGE,01/02/1975,31/12/2000,OPERANDO,26,28,32,106,23,15,2740.0,
00008269,,LA LAJITA,MORELOS,CHIHUAHUA,PACIFICO NORTE,RIO FUERTE,RIO SAN MIGUEL,CLIMATOLOGICA,CONAGUA-DGE,01/03/1976,31/12/1984,SUSPENDIDA,26,34,15,107,47,6,1722.0,
00008270,,LA MESA,ALDAMA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA EL GRANERO,RIO CHUVISCAR,CLIMATOLOGICA,CONAGUA-DGE,01/11/1975,31/12/2003,OPERANDO,28,46,24,105,57,49,1250.0,
00008271,,LAGO DE ARARECO,BOCOYNA,CHIHUAHUA,RIO BRAVO,RIO SINALOA,RIO URIQUE,CLIMATOLOGICA,CONAGUA-SMN,01/09/1976,30/04/1987,SUSPENDIDA,27,42,11,107,35,42,2321.0,
00008273,,PARRAL A. EL HORMIGUERO,HIDALGO DEL PARRAL,CHIHUAHUA,RIO BRAVO,RIO FLORIDO,RIO PARRAL,CLIMATOLOGICA,CONAGUA-DGE,01/02/1933,31/12/1999,OPERANDO,26,54,0,105,37,0,1836.0,
00008274,,SAN MARCOS,CHIHUAHUA,CHIHUAHUA,RIO BRAVO,RIO CONCHOS-PRESA EL GRANERO,SACRAMENTO,CLIMATOLOGICA,CONAGUA-DGE,01/06/1976,31/12/1981,SUSPENDIDA,28,48,27,106,20,28,1660.0,
00008277,,EL PILAR,MORIS,CHIHUAHUA,NOROESTE,RIO MAYO,RIO MORIS,CLIMATOLOGICA,CONAGUA-SMN,01/07/1975,31/12/1993,SUSPENDIDA,28,6,19,108,36,38,1350.0,
00008278,,RANCHO EL RETIRO,CHIHUAHUA,CHIHUAHUA,RIO BRAVO,ARROYO EL CARRIZO,LAGUNA ENCINILLAS,CLIMATOLOGICA,CONAGUA-SMN,01/08/1975,30/04/1987,SUSPENDIDA,28,56,5,106,16,8,1600.0,
00008279,,ESCUELA SEC. LOPEZ MATEOS,GUERRERO,CHIHUAHUA,NOROESTE,RIO YAQUI,RIO CARPIO,CLIMATOLOGICA,CONAGUA-SMN,01/08/1975,31/12/1984,SUSPENDIDA,28,28,40,107,19,54,2152.0,
00008280,,RANCHO LA FINCA,CUSIHUIRIACHI,CHIHUAHUA,RIO BRAVO,LAGUNA DE BUSTILLOS Y DE LOS MEXICANOS,LAGUNA DE LOS MEXICANOS,CLIMATOLOGICA,CONAGUA-SMN,01/09/1975,31/12/1980,SUSPENDIDA,28,8,25,107,1,58,1800.0,
00008283,,JUAREZ (CILA),JUAREZ,CHIHUAHUA,RIO BRAVO,RIO BRAVO-CIUDAD JUAREZ,RIO BRAVO-CIUDAD JUAREZ,CLIMATOLOGICA,CILA,01/09/1959,31/03/1987,SUSPENDIDA,31,44,12,106,24,1,1120.0,
00008290,,SAMALAYUCA D. B. (CILA),JUAREZ,CHIHUAHUA,RIO BRAVO,RIO DEL CARMEN,ARROYO ROMA,CLIMATOLOGICA,CILA,01/01/1975,31/12/1998,OPERANDO,31,21,0,106,28,0,1275.0,
